Admiral Ackbar,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Admiral Holdo,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Admiral Piett,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Ahsoka Tano,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,w,0,1,1,0,0,0,0,0,1,0,0
BB-8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Biggs Darklighter,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Boba Fett,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Bossk,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C-3PO,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
Chewbacca,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
Chirrut Imwe,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Count Dooku,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,r,0,0,1,0,0,0,1,0,0,0,0
Darth Maul,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,r,0,0,1,0,0,1,0,0,0,0,0
Darth Vader,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,r,1,0,1,0,0,1,1,0,0,0,1
Dengar,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Droideka,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Emperor Palpatine,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,r,0,0,0,0,0,1,0,0,1,0,1
Enfys Nest,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ezra Bridger,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,g,0,1,1,1,0,0,0,0,0,0,0
Finn,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
General Grievous,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,g   y,0,0,1,0,0,1,1,0,0,1,0
Grand Moff Tarkin,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Greedo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Han Solo,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
IG-11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jabba the Hut,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
Jango Fett,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Jar Jar Binks,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
K2SO,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ki-Adi-Mundi,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,b,0,0,0,0,0,0,0,0,0,0,0
Kylo Ren,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,b,0,0,0,0,0,0,1,0,0,0,0
Lando Calrissian,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Luke Skywalker,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,g,0,0,0,0,0,0,1,1,1,1,0
Mace Windu,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,p,0,0,0,0,0,1,1,0,1,1,0
Mon Mothma,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nute Gunray,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Obi-Wan Kenobi,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,b,0,0,1,0,0,0,1,0,1,0,0
Padme Amidala,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Plo Koon,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,b,0,0,1,0,0,0,0,0,0,0,0
Poe Dameron,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Princess Leia,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
Qira,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Qui-Gon Jinn,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,g,0,0,1,0,0,1,1,0,0,0,0
R2-D2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Anakin Skywalker,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,b,0,0,1,1,0,0,1,0,1,1,0
Rex,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rey,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,y,0,0,1,1,0,1,1,0,1,0,0
Wedge Antilles,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wicket,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Yoda,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,g,0,1,0,0,0,1,1,0,1,0,1
